city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,population_exposed
San Diego,2022,Extreme heat,High,Medium High,Increasing,Increasing,Short-term (by 2025),60-70%
San Diego,2022,Extreme Precipitation,Medium High,Medium Low,Increasing,Increasing,Medium-term (2026-2050),30-40%
San Diego,2022,Wild fire,High,High,Increasing,Increasing,Short-term (by 2025),90-100%
San Diego,2022,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),20-30%
San Diego,2022,Water Scarcity,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
Austin,2022,Water Scarcity,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
Austin,2022,Flood and sea level rise,High,High,Increasing,Increasing,Short-term (by 2025),10-20%
Austin,2022,Extreme heat,High,High,Increasing,Increasing,Short-term (by 2025),90-100%
Austin,2022,Wild fire,High,High,Increasing,Increasing,Short-term (by 2025),10-20%
Austin,2022,Extreme cold,Medium Low,High,None,Increasing,Medium-term (2026-2050),90-100%
Dallas,2022,Water Scarcity,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),30-40%
Dallas,2022,Heat stress,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),50-60%
Dallas,2022,Biological hazards,High,High,Increasing,Increasing,Short-term (by 2025),30-40%
Dallas,2022,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),20-30%
Dallas,2022,Wild fire,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),20-30%
San José,2022,Extreme heat,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
San José,2022,Water Scarcity,High,High,Increasing,Increasing,Short-term (by 2025),90-100%
San José,2022,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),10-20%
San José,2022,Wild fire,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),90-100%
Indianapolis,2022,Extreme heat,Medium,Medium,Increasing,Increasing,Medium-term (2026-2050),90-100%
Indianapolis,2022,Extreme Precipitation,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),<10%
Indianapolis,2022,Water Scarcity,Medium Low,Medium Low,Increasing,Increasing,Long-term (after 2050),90-100%
Columbus,2022,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),10-20%
Columbus,2022,Extreme Precipitation,High,High,Increasing,Increasing,Short-term (by 2025),90-100%
Columbus,2022,Extreme heat,Medium,High,Increasing,Increasing,Medium-term (2026-2050),90-100%
Charlotte,2022,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),<10%
Charlotte,2022,Storm and wind,Medium Low,Medium High,Increasing,Increasing,Medium-term (2026-2050),90-100%
Charlotte,2022,Extreme heat,Medium High,High,Increasing,Increasing,Medium-term (2026-2050),90-100%
Charlotte,2022,Water Scarcity,Medium High,Low,Increasing,Increasing,Medium-term (2026-2050),90-100%
Charlotte,2022,Wild fire,Medium Low,Low,Increasing,Increasing,Not known (not possible to define),<10%
Charlotte,2022,Extreme wind,Medium,Medium,Do not know,Do not know,Not known (not possible to define),90-100%
Portland,2022,Extreme heat,High,High,Increasing,Increasing,Short-term (by 2025),90-100%
Portland,2022,Mass movement,High,Medium,Increasing,Increasing,Short-term (by 2025),<10%
Portland,2022,Flood and sea level rise,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),<10%
San Francisco,2022,Flood and sea level rise,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),<10%
San Francisco,2022,Water Scarcity,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
San Francisco,2022,Extreme Precipitation,Medium High,Medium,Increasing,Do not know,Medium-term (2026-2050),N/A
San Francisco,2022,Chemical change,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),N/A
San Francisco,2022,Extreme heat,Medium High,High,Increasing,Increasing,Short-term (by 2025),N/A
San Francisco,2022,Wild fire,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
Seattle,2022,Extreme heat,Medium,High,Increasing,Increasing,Medium-term (2026-2050),60-70%
Seattle,2022,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),20-30%
Denver,2022,Water Scarcity,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),90-100%
Denver,2022,Biological hazards,Medium,Medium,Do not know,Do not know,Medium-term (2026-2050),30-40%
Denver,2022,Extreme heat,High,Medium,Increasing,Increasing,Short-term (by 2025),90-100%
