city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,social_impact,assets_services_affected,vulnerable_populations
Chicago,2021,Storm and wind,Low,Medium Low,Increasing,Increasing,Short-term (by 2025),Increased demand for healthcare services; Increased conflict and/or crime; Increased resource demand; Increased demand for public services; Fluctuating socio-economic conditions,Residential; Commercial; Transport,Persons with disabilities; Elderly; Persons living in sub-standard housing; Low-income households; Marginalized groups; Children & youth
Chicago,2021,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services,Commercial; Society / community & culture; Education; Transport,Persons living in sub-standard housing; Elderly; Marginalized groups; Persons with disabilities; Low-income households
Houston,2021,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Emergency services; Energy; Public health; Transport; Water supply & sanitation; Tourism,Children & youth; Indigenous population; Low-income households; Marginalized groups; Persons with chronic diseases; Unemployed persons; Elderly; Women & girls; Persons living in sub-standard housing; Persons with disabilities
Houston,2021,Water Scarcity,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions,Food & agriculture; Transport; Water supply & sanitation,Children & youth; Persons living in sub-standard housing; Persons with disabilities; Persons with chronic diseases; Low-income households; Elderly
Houston,2021,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Energy; Public health; Water supply & sanitation,Persons with chronic diseases; Children & youth; Low-income households; Persons with disabilities; Elderly; Persons living in sub-standard housing
Houston,2021,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased resource demand; Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Population displacement,Public health; Waste management; Water supply & sanitation; Emergency services; Food & agriculture; Transport,Persons with chronic diseases; Children & youth; Persons with disabilities; Unemployed persons; Women & girls; Elderly; Persons living in sub-standard housing; Low-income households; Marginalized groups
Houston,2021,Storm and wind,High,High,Increasing,Increasing,Immediately,Increased demand for public services; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased resource demand,Information & communications technology; Residential; Transport; Waste management; Emergency services; Public health; Energy,Persons with chronic diseases; Low-income households; Persons living in sub-standard housing; Persons with disabilities; Children & youth; Elderly
Houston,2021,Storm and wind,High,Medium High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Increased demand for public services,Water supply & sanitation; Commercial; Public health; Emergency services; Transport; Waste management,"Persons with disabilities; Low-income households; Persons with chronic diseases; Children & youth; Other, please specify: Residential, commercial and industry could be impacted in the event of a storm surge; Elderly; Persons living in sub-standard housing"
Houston,2021,Mass movement,Medium Low,Medium,Decreasing,Decreasing,Immediately,Increased demand for public services; Increased resource demand,Water supply & sanitation; Transport; Land use planning,Low-income households
Houston,2021,Extreme cold,Low,High,Increasing,Increasing,Immediately,Increased resource demand; Increased risk to already vulnerable populations; Increased demand for public services; Loss of tax base to support public services; Population displacement,Public health; Food & agriculture; Water supply & sanitation; Information & communications technology; Transport; Energy; Waste management; Emergency services,Elderly; Persons with disabilities; Low-income households; Children & youth; Persons living in sub-standard housing; Persons with chronic diseases
Houston,2021,Extreme Precipitation,High,High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased resource demand; Increased demand for public services; Increased risk to already vulnerable populations; Population displacement,"Transport; Environment, biodiversity, forestry; Industrial",Persons with chronic diseases; Low-income households; Marginalized groups; Persons with disabilities; Indigenous population; Elderly; Children & youth; Women & girls
Phoenix,2021,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,Energy; Water supply & sanitation; Residential; Public health,"Other, please specify; Persons with chronic diseases; Persons living in sub-standard housing; Elderly; Persons with disabilities; Low-income households"
Phoenix,2021,Biological hazards,Low,Low,Increasing,Increasing,Immediately,Increased resource demand; Increased demand for healthcare services; Increased risk to already vulnerable populations,"Environment, biodiversity, forestry; Public health; Food & agriculture","Persons with disabilities; Other, please specify; Persons with chronic diseases; Elderly"
Phoenix,2021,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services; Increased resource demand; Increased demand for healthcare services,Public health; Water supply & sanitation; Energy,"Low-income households; Marginalized groups; Elderly; Persons with disabilities; Children & youth; Other, please specify; Persons living in sub-standard housing; Persons with chronic diseases; Unemployed persons"
Phoenix,2021,Flood and sea level rise,High,Medium,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services; Increased incidence and prevalence of disease and illness,Transport; Commercial; Residential,"Other, please specify; Unemployed persons; Persons living in sub-standard housing; Low-income households; Elderly"
Phoenix,2021,Water Scarcity,High,Medium Low,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,Tourism; Energy; Food & agriculture; Industrial; Residential; Water supply & sanitation; Commercial; Emergency services,Unemployed persons; Marginalized groups; Elderly; Children & youth; Persons living in sub-standard housing; Low-income households; Persons with chronic diseases
Philadelphia,2021,Extreme heat,Medium Low,High,Increasing,Increasing,Immediately,Increased conflict and/or crime; Increased demand for public services; Increased risk to already vulnerable populations,Public health,Children & youth; Low-income households; Elderly; Persons living in sub-standard housing
Philadelphia,2021,Extreme cold,Medium Low,Medium,Increasing,Increasing,Immediately,Increased demand for public services,Transport; Emergency services; Public health,Elderly
Philadelphia,2021,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services,Commercial; Emergency services; Residential,Persons living in sub-standard housing
Philadelphia,2021,Storm and wind,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services,Residential; Public health; Commercial; Transport; Emergency services,Persons living in sub-standard housing
San Antonio,2021,Water Scarcity,High,High,Increasing,Increasing,N/A,Increased demand for public services; Increased risk to already vulnerable populations,Residential; Emergency services; Energy,Elderly; Children & youth; Low-income households
San Antonio,2021,Flood and sea level rise,High,High,Increasing,Increasing,N/A,Increased risk to already vulnerable populations,Residential; Emergency services; Transport,Children & youth; Low-income households; Marginalized groups; Elderly; Persons with disabilities
San Antonio,2021,Storm and wind,Medium,Medium High,Increasing,Increasing,N/A,N/A,Transport; Emergency services; Energy,
San Antonio,2021,Biological hazards,High,High,Increasing,Increasing,N/A,N/A,"Other, please specify; Water supply & sanitation; Public health",Persons with chronic diseases; Low-income households; Elderly
San Antonio,2021,Extreme heat,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased risk to already vulnerable populations; Increased demand for healthcare services,Commercial; Energy; Water supply & sanitation; Tourism; Food & agriculture; Residential; Public health,Low-income households; Children & youth; Elderly; Persons with chronic diseases; Persons living in sub-standard housing; Persons with disabilities
San Diego,2021,Extreme heat,High,Medium High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services; Increased demand for healthcare services,Public health; Residential; Education,Children & youth; Elderly; Persons with disabilities; Low-income households; Marginalized groups; Persons with chronic diseases
San Diego,2021,Extreme Precipitation,Medium High,Medium Low,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased demand for healthcare services; Increased risk to already vulnerable populations,Emergency services; Transport; Residential; Water supply & sanitation,Persons with chronic diseases; Children & youth; Persons with disabilities; Low-income households; Elderly; Marginalized groups
San Diego,2021,Wild fire,High,High,Increasing,Increasing,Immediately,Increased resource demand; Population displacement; Increased demand for public services; Increased demand for healthcare services,Emergency services,"Low-income households; Other, please specify: Persons with limited mobility access (car, transit, etc.); Persons living in sub-standard housing"
San Diego,2021,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Long-term (after 2050),Increased demand for public services,"Tourism; Emergency services; Environment, biodiversity, forestry; Society / community & culture; Public health; Residential; Water supply & sanitation; Industrial; Transport; Commercial; Land use planning",Low-income households
Austin,2021,Water Scarcity,High,High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,"Environment, biodiversity, forestry; Energy; Water supply & sanitation; Emergency services; Transport; Public health","Other, please specify: Immigrant and refugee communities, Unhoused communities, Communities of color; Low-income households; Marginalized groups; Persons living in sub-standard housing"
Austin,2021,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Population displacement; Increased risk to already vulnerable populations; Increased demand for public services,Information & communications technology; Residential; Commercial; Emergency services; Water supply & sanitation; Public health,"Marginalized groups; Low-income households; Persons living in sub-standard housing; Other, please specify: Immigrant and refugee communities, Unhoused communities, Communities of color; Persons with disabilities; Unemployed persons"
Austin,2021,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased risk to already vulnerable populations; Fluctuating socio-economic conditions,Public health; Water supply & sanitation; Energy,"Other, please specify: Immigrant and refugee communities, Unhoused communities, Communities of color, Outdoor workers; Marginalized groups; Persons with chronic diseases; Low-income households; Persons with disabilities; Elderly; Persons living in sub-standard housing"
Austin,2021,Wild fire,High,High,Increasing,Increasing,Immediately,Population displacement; Increased demand for healthcare services; Increased demand for public services,"Environment, biodiversity, forestry; Public health; Residential; Emergency services","Persons with chronic diseases; Children & youth; Persons with disabilities; Elderly; Persons living in sub-standard housing; Low-income households; Marginalized groups; Other, please specify: Immigrant and refugee communities, Unhoused communities, Communities of color"
Austin,2021,Extreme cold,Medium Low,High,None,Increasing,Medium-term (2026-2050),Increased resource demand; Increased risk to already vulnerable populations,Energy; Water supply & sanitation; Transport,"Marginalized groups; Persons living in sub-standard housing; Other, please specify: Immigrant and refugee communities, Unhoused communities, Communities of color; Persons with chronic diseases; Low-income households; Elderly"
Dallas,2021,Water Scarcity,Medium High,Medium High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services,"Environment, biodiversity, forestry; Other, please specify: Drainage and Infrastructure; Public health; Water supply & sanitation",Low-income households; Persons living in sub-standard housing; Marginalized groups
Dallas,2021,Extreme heat,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),"Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Other, please specify: Increased impacts to transportation and water supply infrastructure and increased mortality; Increased resource demand",Energy; Transport; Water supply & sanitation; Public health; Residential,"Low-income households; Persons with chronic diseases; Other, please specify: Transportation-limited; Persons living in sub-standard housing; Marginalized groups"
Dallas,2021,Biological hazards,Medium,Low,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness,Public health; Emergency services; Residential,Elderly; Persons with chronic diseases; Low-income households; Children & youth; Persons living in sub-standard housing
Dallas,2021,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Immediately,"Other, please specify: Loss of Life; Increased resource demand; Increased demand for public services; Increased risk to already vulnerable populations; Population displacement","Water supply & sanitation; Residential; Other, please specify: Increased Mortality, Disruptions to Transportation and other infrastructure; Environment, biodiversity, forestry; Commercial; Emergency services","Other, please specify: Communities in low lying  areas.; Marginalized groups; Persons living in sub-standard housing"
Dallas,2021,Flood and sea level rise,Medium,Medium,Increasing,Increasing,Short-term (by 2025),"Increased demand for healthcare services; Increased risk to already vulnerable populations; Other, please specify: Transportation; Increased demand for public services; Increased incidence and prevalence of disease and illness","Environment, biodiversity, forestry; Residential; Transport; Water supply & sanitation; Emergency services","Marginalized groups; Other, please specify: Communities in low lying areas.; Low-income households; Persons living in sub-standard housing"
Dallas,2021,Extreme cold,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),"Increased demand for public services; Other, please specify: Energy grid failure and transportation; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased demand for healthcare services","Residential; Industrial; Environment, biodiversity, forestry; Water supply & sanitation; Commercial; Emergency services; Energy; Transport","Persons living in sub-standard housing; Marginalized groups; Other, please specify: Communities in low lying areas; Low-income households"
San José,2021,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased conflict and/or crime; Increased resource demand; Increased risk to already vulnerable populations,"Energy; Residential; Public health; Environment, biodiversity, forestry","Children & youth; Persons living in sub-standard housing; Other, please specify: Those who work outside/are active outdoors, homeless populations; Low-income households; Persons with chronic diseases; Marginalized groups; Elderly"
San José,2021,Extreme heat,Medium High,Medium High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased demand for public services; Increased resource demand; Increased incidence and prevalence of disease and illness,"Public health; Energy; Environment, biodiversity, forestry; Residential","Children & youth; Elderly; Persons with chronic diseases; Marginalized groups; Persons living in sub-standard housing; Low-income households; Other, please specify: Those who work outside/are active outdoors, homeless populations"
San José,2021,Water Scarcity,High,High,Increasing,Increasing,Short-term (by 2025),Migration from rural areas to cities; Increased resource demand,"Environment, biodiversity, forestry; Residential; Water supply & sanitation",Children & youth; Elderly; Marginalized groups; Low-income households
San José,2021,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),Population displacement; Increased risk to already vulnerable populations,Residential; Commercial; Transport,Persons living in sub-standard housing; Low-income households; Persons with disabilities; Elderly; Marginalized groups
San José,2021,Flood and sea level rise,Medium,High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Population displacement,Residential; Waste management; Water supply & sanitation,Low-income households; Persons living in sub-standard housing
San José,2021,Wild fire,Medium High,Medium High,Increasing,Increasing,Immediately,Population displacement; Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased demand for public services; Increased incidence and prevalence of disease and illness,"Environment, biodiversity, forestry; Public health; Energy; Residential","Persons with chronic diseases; Other, please specify: People who work or are active outdoors; homeless populations; Elderly"
Indianapolis,2021,Extreme Precipitation,High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions,Waste management; Residential; Public health; Food & agriculture; Water supply & sanitation; Transport,Persons with disabilities; Marginalized groups; Low-income households; Elderly; Persons living in sub-standard housing
Indianapolis,2021,Extreme heat,Medium,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased conflict and/or crime; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased resource demand,Energy; Food & agriculture; Public health; Residential,Persons living in sub-standard housing; Persons with disabilities; Elderly; Marginalized groups; Low-income households
Indianapolis,2021,Extreme heat,High,Medium Low,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased resource demand,Energy; Food & agriculture; Public health; Water supply & sanitation,Elderly; Children & youth; Persons with chronic diseases
Indianapolis,2021,Extreme Precipitation,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Loss of traditional jobs; Migration from rural areas to cities,Transport; Food & agriculture; Water supply & sanitation,"Persons living in sub-standard housing; Low-income households; Other, please specify"
Indianapolis,2021,Storm and wind,Low,Do not know,Do not know,Do not know,Long-term (after 2050),Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,Public health; Residential; Emergency services; Information & communications technology,"Other, please specify; Persons with disabilities; Persons living in sub-standard housing"
Indianapolis,2021,Water Scarcity,Medium Low,Medium Low,Increasing,Increasing,Long-term (after 2050),Migration from rural areas to cities; Increased demand for healthcare services; Increased risk to already vulnerable populations; Loss of traditional jobs; Increased demand for public services; Increased resource demand,Food & agriculture; Commercial; Water supply & sanitation; Public health,"Low-income households; Other, please specify; Persons with chronic diseases; Persons living in sub-standard housing"
Columbus,2021,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services; Increased demand for healthcare services,Water supply & sanitation; Energy; Transport,Low-income households; Unemployed persons; Elderly; Children & youth; Persons living in sub-standard housing; Persons with disabilities
Columbus,2021,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for healthcare services; Increased incidence and prevalence of disease and illness,Energy; Water supply & sanitation; Transport,Marginalized groups; Low-income households; Elderly; Persons with chronic diseases; Persons living in sub-standard housing
Columbus,2021,Extreme Precipitation,High,High,Increasing,Increasing,Short-term (by 2025),Fluctuating socio-economic conditions; Increased demand for public services,Water supply & sanitation; Transport; Energy,"Other, please specify: Those employed by the agricultural sector; Low-income households; Persons with chronic diseases; Persons living in sub-standard housing"
Columbus,2021,Extreme heat,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,Emergency services; Water supply & sanitation; Public health,Persons living in sub-standard housing; Children & youth; Elderly; Low-income households
Columbus,2021,Extreme heat,Medium,High,Increasing,Increasing,Medium-term (2026-2050),Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased resource demand; Increased demand for healthcare services,Public health; Water supply & sanitation; Food & agriculture,Low-income households; Persons living in sub-standard housing; Children & youth; Elderly
Columbus,2021,Biological hazards,Medium,High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services,Public health; Residential; Water supply & sanitation,Elderly; Children & youth; Persons with chronic diseases
Charlotte,2021,Extreme heat,Medium High,High,Increasing,Increasing,Medium-term (2026-2050),Fluctuating socio-economic conditions; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations; Increased demand for public services,"Commercial; Emergency services; Waste management; Law & order; Residential; Environment, biodiversity, forestry; Food & agriculture; Industrial; Education; Energy; Public health; Tourism; Transport; Water supply & sanitation; Land use planning; Society / community & culture",Persons living in sub-standard housing; Persons with disabilities; Elderly; Children & youth; Unemployed persons; Low-income households; Marginalized groups; Persons with chronic diseases
Charlotte,2021,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased demand for healthcare services; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Population displacement; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased conflict and/or crime,"Energy; Water supply & sanitation; Residential; Public health; Environment, biodiversity, forestry; Tourism; Transport; Commercial; Industrial; Emergency services; Waste management; Food & agriculture",Persons with chronic diseases; Persons living in sub-standard housing; Children & youth; Elderly; Low-income households; Unemployed persons; Persons with disabilities; Marginalized groups
Charlotte,2021,Chemical change,Medium High,High,Increasing,Increasing,Medium-term (2026-2050),Fluctuating socio-economic conditions; Increased demand for public services; Population displacement; Increased resource demand; Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness,"Water supply & sanitation; Food & agriculture; Industrial; Law & order; Transport; Public health; Residential; Society / community & culture; Land use planning; Waste management; Tourism; Education; Commercial; Emergency services; Energy; Environment, biodiversity, forestry",Persons with chronic diseases; Unemployed persons; Elderly; Persons with disabilities; Marginalized groups; Low-income households; Persons living in sub-standard housing; Children & youth
Portland,2021,Extreme heat,High,Medium High,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased demand for public services; Increased demand for healthcare services; Increased risk to already vulnerable populations,Transport; Society / community & culture; Public health,"Low-income households; Elderly; Persons living in sub-standard housing; Persons with disabilities; Other, please specify: People who work outdoors; Unemployed persons; Persons with chronic diseases; Marginalized groups; Indigenous population; Children & youth"
Portland,2021,Mass movement,High,Medium,Increasing,Increasing,Short-term (by 2025),Population displacement,Residential; Emergency services; Transport,Low-income households; Marginalized groups
Portland,2021,Flood and sea level rise,High,Medium High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Population displacement; Increased risk to already vulnerable populations,Residential; Transport; Emergency services,Persons with disabilities; Low-income households; Indigenous population; Persons living in sub-standard housing
Portland,2021,Wild fire,Medium High,High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Fluctuating socio-economic conditions,Public health; Emergency services; Residential,Elderly; Persons with disabilities; Marginalized groups; Low-income households; Persons with chronic diseases
San Francisco,2021,Flood and sea level rise,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Loss of tax base to support public services,"Commercial; Emergency services; Society / community & culture; Environment, biodiversity, forestry; Industrial; Tourism; Transport; Water supply & sanitation; Waste management; Public health","Persons with disabilities; Persons with chronic diseases; Elderly; Children & youth; Low-income households; Marginalized groups; Other, please specify: Unhoused Populations; Persons living in sub-standard housing"
San Francisco,2021,Water Scarcity,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),Increased resource demand; Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased demand for public services,"Food & agriculture; Water supply & sanitation; Public health; Society / community & culture; Commercial; Environment, biodiversity, forestry; Residential","Children & youth; Elderly; Persons living in sub-standard housing; Low-income households; Unemployed persons; Marginalized groups; Persons with disabilities; Other, please specify: Unhoused Populations; Persons with chronic diseases"
San Francisco,2021,Extreme heat,High,Medium,Increasing,Increasing,Short-term (by 2025),Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased demand for public services; Increased incidence and prevalence of disease and illness,"Energy; Education; Environment, biodiversity, forestry; Food & agriculture; Public health; Society / community & culture; Emergency services; Water supply & sanitation","Other, please specify: Unhoused Populations; Persons with chronic diseases; Persons with disabilities; Unemployed persons; Children & youth; Low-income households; Persons living in sub-standard housing; Elderly; Marginalized groups"
San Francisco,2021,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations,"Waste management; Water supply & sanitation; Transport; Public health; Residential; Environment, biodiversity, forestry","Persons with disabilities; Persons with chronic diseases; Low-income households; Elderly; Unemployed persons; Marginalized groups; Children & youth; Other, please specify: Unhoused Populations; Persons living in sub-standard housing"
San Francisco,2021,Chemical change,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations,"Waste management; Environment, biodiversity, forestry; Water supply & sanitation; Public health; Residential",Persons living in sub-standard housing; Low-income households; Marginalized groups
San Francisco,2021,Flood and sea level rise,Low,Low,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Population displacement; Increased demand for healthcare services; Increased risk to already vulnerable populations; Loss of tax base to support public services,"Commercial; Land use planning; Residential; Environment, biodiversity, forestry; Transport; Water supply & sanitation","Children & youth; Low-income households; Other, please specify: Unhoused Populations; Persons with disabilities; Unemployed persons; Elderly; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases"
